UID,variation_id
ELH000147,39786
ELH000147,139111
ELH000147,139112
ELH000147,139113
ELH000147,213665
ELH000147,213681
ELH000147,213682
ELH000147,213683
ELH000147,213663
ELH000147,213686
ELH000147,213687
ELH000147,213664
ELH000147,227947
ELH000147,239478
ELH000147,239479
ELH000147,264471
ELH000147,264417
ELH000147,264172
ELH000147,264423
ELH000147,264492
ELH000147,264199
ELH000147,373594
ELH000147,381375
ELH000147,386838
ELH000147,388701
ELH000147,380753
ELH000147,385331
ELH000147,389154
ELH000147,432531
ELH000147,463393
ELH000147,463397
ELH000147,463408
ELH000147,499239
ELH000147,510551
ELH000147,516445
ELH000147,511227
ELH000147,520156
ELH000147,520162
ELH000147,520150
ELH000147,520160
ELH000147,520165
ELH000147,520170
ELH000147,520166
ELH000147,520171
ELH000147,520152
ELH000147,520153
ELH000147,520168
ELH000147,532224
ELH000147,532220
ELH000147,532225
ELH000147,532221
ELH000147,532226
ELH000147,582951
ELH000147,618874
ELH000147,661770
ELH000147,700094
ELH000147,701048
ELH000147,701605
ELH000147,702352
ELH000147,729790
ELH000147,734706
ELH000147,723548
ELH000147,858270
ELH000147,838492
ELH000147,950393
ELH000147,949968
ELH000147,1017638
ELH000147,1043983
ELH000147,1097316
ELH000147,1078969
ELH000147,1095751
ELH000147,1101412
ELH000147,1108923
ELH000147,1127810
ELH000147,1133584
ELH000147,1133810
ELH000147,1132160
ELH000147,1166938
ELH000147,1209191
ELH000147,1254585
ELH000147,1298398
ELH000147,1311790
ELH000147,1314447
ELH000147,1319167
ELH000147,1341723
ELH000147,1496290
ELH000147,1481778
ELH000147,1423894
ELH000147,1482394
ELH000147,1540247
ELH000147,1642513
ELH000147,1574666
ELH000147,1610872
ELH000147,1604792
ELH000147,1543193
ELH000147,1690722
ELH000147,1723107
ELH000147,1727632
ELH000147,1728916
ELH000147,1729041
ELH000147,1731013
ELH000147,1731022
ELH000147,1734082
ELH000147,1735793
ELH000147,1735796
ELH000147,1738825
ELH000147,1728627
ELH000147,1728419
ELH000147,1730051
ELH000147,1731904
ELH000147,1733195
ELH000147,1734942
ELH000147,1728067
ELH000147,1731364
ELH000147,1738002
ELH000147,1743966
ELH000147,1749206
ELH000147,1752833
ELH000147,1742032
ELH000147,1750550
ELH000147,1754006
ELH000147,1754138
ELH000147,1754142
ELH000147,1754291
ELH000147,1751769
ELH000147,1753815
ELH000147,1741344
ELH000147,1746431
ELH000147,1756118
ELH000147,1755795
ELH000147,1757516
ELH000147,1761131
ELH000147,1764171
ELH000147,1764273
ELH000147,1764370
ELH000147,1765909
ELH000147,1767504
ELH000147,1767645
ELH000147,1767727
ELH000147,1755284
ELH000147,1757075
ELH000147,1758971
ELH000147,1764068
ELH000147,1765508
ELH000147,1767166
ELH000147,1760209
ELH000147,1761801
ELH000147,1777455
ELH000147,1771746
ELH000147,1775225
ELH000147,1769862
ELH000147,1775029
ELH000147,1772907
ELH000147,1776127
ELH000147,1781128
ELH000147,1785541
ELH000147,1787052
ELH000147,1787253
ELH000147,1788765
ELH000147,1792210
ELH000147,1793917
ELH000147,1786558
ELH000147,1793503
ELH000147,1793772
ELH000147,1782657
ELH000147,1784724
ELH000147,1786077
ELH000147,1786079
ELH000147,1783923
ELH000147,1790867
ELH000147,1794662
ELH000147,1796169
ELH000147,1796179
ELH000147,1798018
ELH000147,1797438
ELH000147,1796565
ELH000147,1796930
ELH000147,2145648
ELH000147,2172700
ELH000147,2419501
ELH000147,1914638
ELH000147,1962236
ELH000147,2008214
ELH000147,2064325
ELH000147,2211959
ELH000147,2225761
ELH000147,2245361
ELH000147,2266305
ELH000147,2287639
ELH000147,2447187
ELH000147,2452624
ELH000147,2452626
ELH000147,2452627
ELH000147,2452628
ELH000147,2452631
ELH000147,2452633
ELH000147,2482699
ELH000147,2496214
ELH000147,2534568
ELH000147,2534569
ELH000147,2534570
ELH000147,2566884
ELH000147,2566885
ELH000147,2566887
ELH000147,2566893
ELH000147,2566894
ELH000147,2586929
ELH000147,2586933
ELH000147,2586935
ELH000147,2586936
ELH000147,2586937
ELH000147,2787530
ELH000147,2788720
ELH000147,2916161
ELH000147,2919358
ELH000147,2958258
ELH000147,2990592
ELH000147,3162607
ELH000147,3162609
ELH000147,3162610
ELH000147,3223051
ELH000147,3223058
ELH000147,3223060
ELH000147,3223063
ELH000147,3223064
ELH000147,3223065
ELH000147,3223068
ELH000147,3223069
ELH000147,3223070
ELH000147,3223071
ELH000147,3223072
ELH000147,3223073
ELH000147,3223074
ELH000147,3223075
ELH000147,3223076
ELH000147,3318698
ELH000147,3318700
ELH000147,3318703
ELH000147,3318704
ELH000147,3318706
ELH000147,3318710
ELH000147,3442281
ELH000147,3442286
ELH000147,3442292
ELH000147,3442293
ELH000147,3442296
ELH000147,3442297
ELH000147,3442298
ELH000147,3442299
ELH000147,3442306
ELH000147,3442307
ELH000147,3442311
ELH000147,3442313
ELH000147,3442315
ELH000147,3442317
ELH000147,3442318
ELH000147,3442319
ELH000147,3442321
ELH000147,3668554
ELH000147,3796258
ELH000147,3796264
ELH000147,3796266
ELH000147,3796268
ELH000147,3796273
ELH000147,3796280
ELH000004,291466
ELH000004,1414650
ELH000004,129399
ELH000004,260541
ELH000004,291468
ELH000004,801432
ELH000006,215882
ELH000006,240958
ELH000006,291573
ELH000006,291571
ELH000006,291575
ELH000006,291569
ELH000006,291568
ELH000006,291574
ELH000006,543261
ELH000006,640472
ELH000006,801433
ELH000006,877031
ELH000006,874242
ELH000006,874243
ELH000006,876069
ELH000006,1032652
ELH000006,1379326
ELH000006,1733688
ELH000006,1734527
ELH000006,2445412
ELH000006,3288399
ELH000006,3377777
ELH000007,4662
ELH000007,129400
ELH000007,215516
ELH000007,291576
ELH000007,291577
ELH000007,291580
ELH000007,374063
ELH000007,696808
ELH000007,874244
ELH000007,876138
ELH000007,876139
ELH000007,1386186
ELH000007,1404980
ELH000007,1738868
ELH000007,2308835
ELH000007,3599967
ELH000008,240959
ELH000008,917115
ELH000008,3600023
ELH000008,129401
ELH000008,215883
ELH000008,219797
ELH000008,220407
ELH000008,240960
ELH000008,291583
ELH000008,291588
ELH000008,291598
ELH000008,291600
ELH000008,291608
