chr1	29553	31295	+	HSALNG0000005	MIR1302-2HG
chr1	34553	36081	-	HSALNG0000006	FAM138A
chr1	585988	827769	-	HSALNG0000022	LINC00115
chr1	778695	810313	+	HSALNG0000038	LINC01409
chr1	817370	859572	+	HSALNG0000041	LINC01128,FAM87B
chr1	864993	879212	-	HSALNG0000046	FAM41C
chr1	916817	921016	-	HSALNG0000054	LINC02593
chr1	1137016	1144056	+	HSALNG0141646	LINC01342
chr1	1173055	1179555	-	HSALNG0142080	TTLL10-AS1
chr1	1274001	1280420	+	HSALNG0000125	LINC01786
chr1	1399519	1402046	+	HSALNG0000152	MRPL20-AS1
chr1	1407376	1410854	+	HSALNG0000155	MRPL20-DT
chr1	1428118	1487462	-	HSALNG0000162	LINC01770
chr1	2181793	2184389	-	HSALNG0142083	PRKCZ-AS1
chr1	2539779	2557031	-	HSALNG0000275	TNFRSF14-AS1
chr1	2628688	2636621	+	HSALNG0000288	MMEL1-AS1
chr1	3055438	3070489	-	HSALNG0000303	PRDM16-DT
chr1	3900348	3920041	+	HSALNG0000361	LINC01134
chr1	3937280	3949051	-	HSALNG0000365	LINC01345
chr1	3940485	3955262	+	HSALNG0000366	LINC01346
chr1	3972834	4092927	+	HSALNG0000367	LINC02780
chr1	4229628	4429843	+	HSALNG0000379	LINC01777
chr1	4560705	4596963	+	HSALNG0000393	LINC01646
chr1	4973380	4983958	+	HSALNG0000421	LINC02781
chr1	5084612	5122009	-	HSALNG0000428	LINC02782
chr1	6234691	6241657	+	HSALNG0000511	LINC00337
chr1	6723237	6750847	+	HSALNG0000544	LINC01672
chr1	6781088	6785326	-	HSALNG0000547	CAMTA1-DT
chr1	7358545	7370283	+	HSALNG0000559	CAMTA1-IT1
chr1	7379040	7390509	-	HSALNG0000560	CAMTA1-AS2
chr1	7440204	7447054	-	HSALNG0000562	CAMTA1-AS1
chr1	8026387	8249011	+	HSALNG0000603	LINC01714
chr1	8423415	8435791	+	HSALNG0000636	RERE-AS1
chr1	8878834	8885966	+	HSALNG0000660	ENO1-AS1
chr1	9135691	9202633	-	HSALNG0000682	MIR34AHG
chr1	9181421	9196284	+	HSALNG0000685	LNCTAM34A
chr1	9403774	9456727	-	HSALNG0000694	LINC02606
chr1	9652609	9654586	-	HSALNG0142109	PIK3CD-AS1
chr1	9672401	9689418	-	HSALNG0000719	PIK3CD-AS2
chr1	11099429	11102105	+	HSALNG0000845	EXOSC10-AS1
chr1	11143897	11149538	+	HSALNG0000847	MTOR-AS1
chr1	11609467	11614336	+	HSALNG0000883	LINC01647
chr1	11777076	11779619	-	HSALNG0000898	C1orf167-AS1
chr1	12525255	12529463	+	HSALNG0000943	LINC02766
chr1	12822629	12877927	-	HSALNG0000961	LINC01784
chr1	14335390	14420107	-	HSALNG0001020	KAZN-AS1
chr1	15111814	15153618	-	HSALNG0001056	TMEM51-AS1
chr1	15322583	15343998	-	HSALNG0001066	FHAD1-AS1
chr1	15740050	15751262	-	HSALNG0001107	SLC25A34-AS1
chr1	16197853	16198357	+	HSALNG0001153	ARHGEF19-AS1
chr1	16460947	16468481	+	HSALNG0141680	LINC01772
chr1	16533250	16536172	-	HSALNG0001188	LINC01783
chr1	17189572	17198584	+	HSALNG0001259	LINC02783
chr1	17406759	17407382	+	HSALNG0001269	RCC2-AS1
chr1	17699436	17749979	+	HSALNG0001287	LINC02810
chr1	18065656	18074412	+	HSALNG0001302	LINC01654
chr1	18159180	18179421	-	HSALNG0001306	IGSF21-AS1
chr1	19210327	19243039	+	HSALNG0001365	EMC1-AS1
